Glasses,Hats,Eyes,Mouth,Shirt,Color,Background
nerdy,white mohawk,closed,fish,inmate,#F6C3DB,#B5B3DA
nerdy,blue mohawk,standard,standard,t-shirt,#F6C3DB,#E6CAAF
transparent,white mohawk,standard,open,scarf,#387DDC,#E6CAAF
transparent,bennett,closed,smoking,punk,#959A99,#F68A5C
transparent,blue mohawk,standard,no expression,collared,#C62B3E,#98CDCD
shiny,sausage,closed,grinning,inmate,#387DDC,#FAE74B
transparent,white mohawk,dizzy,standard,hoodie,#D9BD9E,#98CDCD
nerdy,santa hat,standard,no expression,basketball,#FFFFFF,#98CDCD
nerdy,aviator,closed,open,scarf,#387DDC,#EE2840
shiny,poop,sparkling,grinning,collared,#959A99,#B5B3DA
nerdy,afro,closed,standard,basketball,#C62B3E,#FAE74B
nerdy,bucket hat,dizzy,open,hawaiian2,#C62B3E,#B5B3DA
shiny,white mohawk,standard,standard,t-shirt,#FFFFFF,#B5B3DA
vintage yellow,baseball,standard,yawn,t-shirt,#F6C3DB,#98CDCD
shiny,poop,angry,standard,scarf,#D9BD9E,#B5B3DA
plastic,aviator,closed,grinning,punk,#181B2B,#E6CAAF
plastic,bucket hat,standard,standard,basketball,#C62B3E,#FD9DCB
cool gold,aviator,sparkling,yawn,hawaiian3,#181B2B,#EE2840
cool pink,bennett,standard,standard,basketball,#C62B3E,#FAE74B
standard,green mohawk,closed,standard,tattoos,#D9BD9E,#FAE74B
standard,brain,angry,yawn,t-shirt,#C62B3E,#FAE74B
shiny,ribs,closed,no expression,inmate,#D9BD9E,#FD9DCB
nerdy,snowhat,wink,standard,tattoos,#181B2B,#E6CAAF
nerdy,white mohawk,wink,standard,basketball,#FFFFFF,#F68A5C
cool pink,red mohawk,angry,standard,t-shirt,#FFFFFF,#EE2840
vintage red,bucket hat,closed,fish,hawaiian1,#959A99,#EE2840
cool pink,bennett,wink,open,hawaiian2,#F6C3DB,#98CDCD
vintage yellow,santa hat,standard,smoking,t-shirt,#387DDC,#E6CAAF
shiny,snowhat,wink,standard,inmate,#959A99,#E6CAAF
cool gold,snowhat,standard,grinning,overalls,#959A99,#E6CAAF
nerdy,white mohawk,angry,grinning,hawaiian1,#D9BD9E,#FD9DCB
transparent,white mohawk,sparkling,standard,hawaiian1,#387DDC,#F68A5C
plastic,ribs,wink,no expression,hoodie,#C62B3E,#98CDCD
standard,snowhat,standard,smoking,hawaiian2,#F6C3DB,#B5B3DA
shiny,snowhat,wink,grinning,hawaiian3,#959A99,#B5B3DA
nerdy,aviator,wink,standard,basketball,#387DDC,#E6CAAF
standard,white mohawk,closed,grinning,t-shirt,#FFFFFF,#E6CAAF
vintage red,aviator,sparkling,grinning,overalls,#FFFFFF,#EE2840
nerdy,snowhat,wink,grinning,punk,#F6C3DB,#FD9DCB
vintage red,baseball,dizzy,open,overalls,#F6C3DB,#F68A5C
plastic,blue mohawk,angry,grinning,hoodie,#D9BD9E,#98CDCD
standard,baseball,standard,standard,scarf,#F6C3DB,#FD9DCB
cool pink,baseball,wink,open,overalls,#387DDC,#FAE74B
shiny,bucket hat,angry,fish,overalls,#D9BD9E,#E6CAAF
nerdy,afro,sparkling,yawn,hawaiian3,#F6C3DB,#FD9DCB
transparent,bucket hat,wink,standard,scarf,#FFFFFF,#E6CAAF
plastic,white mohawk,wink,standard,tattoos,#181B2B,#FD9DCB
cool gold,bucket hat,standard,fish,hawaiian2,#FFFFFF,#F68A5C
cool pink,snowhat,angry,no expression,hoodie,#F6C3DB,#FD9DCB
transparent,white mohawk,standard,no expression,overalls,#387DDC,#FAE74B
nerdy,baseball,angry,standard,scarf,#387DDC,#EE2840
shiny,brain,closed,yawn,hoodie,#D9BD9E,#E6CAAF
transparent,bucket hat,standard,smoking,hawaiian3,#181B2B,#E6CAAF
standard,poop,angry,yawn,hawaiian3,#181B2B,#98CDCD
cool gold,bennett,closed,grinning,t-shirt,#959A99,#EE2840
nerdy,red mohawk,standard,standard,scarf,#959A99,#FD9DCB
standard,aviator,angry,standard,hawaiian3,#959A99,#E6CAAF
shiny,standard,dizzy,standard,t-shirt,#F6C3DB,#E6CAAF
nerdy,bennett,wink,standard,scarf,#F6C3DB,#B5B3DA
standard,snowhat,sparkling,standard,hawaiian2,#FFFFFF,#F68A5C
standard,sausage,standard,standard,basketball,#FFFFFF,#E6CAAF
plastic,afro,wink,grinning,hawaiian3,#D9BD9E,#EE2840
standard,red mohawk,closed,no expression,basketball,#387DDC,#98CDCD
vintage yellow,aviator,closed,open,hawaiian1,#181B2B,#FAE74B
standard,fishing hat,standard,open,hawaiian3,#C62B3E,#98CDCD
shiny,standard,closed,smoking,scarf,#181B2B,#EE2840
transparent,santa hat,standard,no expression,basketball,#FFFFFF,#FD9DCB
transparent,fishing hat,standard,smoking,overalls,#181B2B,#FAE74B
transparent,bennett,closed,yawn,basketball,#959A99,#98CDCD
transparent,bucket hat,dizzy,open,collared,#F6C3DB,#98CDCD
standard,aviator,wink,yawn,hawaiian1,#181B2B,#EE2840
vintage yellow,baseball,closed,fish,scarf,#D9BD9E,#FAE74B
plastic,santa hat,angry,no expression,punk,#181B2B,#F68A5C
transparent,blue mohawk,standard,no expression,tattoos,#387DDC,#B5B3DA
vintage red,baseball,closed,open,collared,#F6C3DB,#98CDCD
cool pink,afro,standard,standard,standard,#387DDC,#F68A5C
plastic,white mohawk,standard,yawn,standard,#181B2B,#E6CAAF
standard,baseball,dizzy,standard,hawaiian1,#D9BD9E,#FD9DCB
